Q53GT1	P15927
O95243	P10244
Q9Y467	Q5U623
Q13118	O00515
Q9UJP4	Q99547
Q8IX07	P49354
O14744	P52272
Q9GZZ9	Q9UDY8
Q9H223	P53567
Q96RK1	P04632
P50895	Q04724
Q10586	Q7Z7E8
Q9NWK9	Q6PKC3
P01375	Q96QK1
Q96F07	P53567
P01871	O00116
Q8NEM2	P62910
P80723	P47929
Q9HCJ0	Q2M1K9
Q8WY36	P19623
O14646	Q9NS23
Q96EI5	Q9UEY8
Q7LFL8	Q9BZD6
Q9UL17	Q71DI3
P49790	O43684
Q9UPR6	Q9UBK7
Q8N6M0	Q14674
P52306	Q6AI12
Q9HC98	Q13098
O94992	P07108
Q9UEY8	O14497
Q9H3U1	Q05397
Q14135	P06400
Q15404	Q9HCH5
O43474	Q08209
Q92817	Q96DF8
Q15404	O15212
O75030	Q5VWP3
P40818	Q8TAP6
P19623	P04075
Q9Y241	Q9UJV9
Q8N0Z3	Q9P212
Q13838	Q16621
Q8IX07	Q9UBB9
Q9UGN5	Q6P2H3
Q9Y2K2	P28702
Q96D09	P49454
Q8WY36	Q9NXE8
Q5BKZ1	Q92888
Q99549	Q01804
O75970	Q14135
Q7L4I2	Q96NB3
Q68CL5	O43251
P78364	Q9NQ11
Q86VQ0	O43474
P50458	Q9UKT9
Q9P0L9	Q69YQ0
Q15788	O15353
Q9P2F8	P00918
Q7Z3B4	Q5VWP3
P52701	Q9NV56
P11171	Q9NZU5
P28072	Q99743
Q9P2R6	Q96KR6
Q96RK1	O43488
Q13153	Q03052
P30519	Q6P1M3
Q9UEE9	Q9ULH1
Q99593	P15884
Q15746	Q13136
Q7L4I2	Q13219
Q9H5J0	Q2M1K9
O60476	Q9BZ95
Q9NZ52	Q8IVL0
O60244	Q9BZD6
Q5VIR6	Q14005
Q13228	Q9HBH7
Q96RK1	Q7Z6B0
O15504	P21579
P26639	P48556
Q96PZ0	P15884
Q16594	Q9NZ52
Q8IYS1	P19429
Q96PM9	Q96F07
Q13516	Q9NXG2
Q9HC98	O95926
P62888	Q96KD3
Q9H410	Q03052
P01871	Q7Z7E8
Q14966	O00515
P29590	Q15544
Q9BVP2	Q9Y237
P22670	Q99728
P35222	P28702
Q86YD7	Q96KC8
Q5T1M5	Q9Y262
Q9Y2V7	Q9P0L9
Q9NP81	Q9H171
Q15750	Q92733
Q9BYV6	Q9UJX0
P62277	Q9UDY8
A6NKF1	Q9UDY8
Q9Y3E7	P28702
Q9Y6V0	Q96M02
Q96IV0	Q9BZD6
Q14232	Q86U70
Q96RK1	Q16611
Q13618	Q9P2J5
P01375	Q5VYS8
P53999	P52952
Q96NB3	Q13613
Q9NWK9	Q9Y478
Q71DI3	P98082
P26639	P07954
O75340	Q8N3X1
Q02446	P08648
Q6P1X5	P20585
Q9BXL5	Q9UDY8
P52701	Q07020
P20823	Q8IY63
Q7Z3K3	Q8N5M4
P02730	P78317
O00203	Q96CX2
P01871	Q9UNF1
Q9BSH4	Q8N6N3
Q92988	Q5T447
O14654	Q01130
Q9BZE1	P04921
Q15562	Q9Y4B4
P49715	Q9UP38
O15360	O95340
P62917	P62633
O15399	Q8N5S1
P10589	Q03052
Q96JN8	O14613
P52306	Q99418
Q9NVS9	P21333
Q96NJ5	Q15744
Q9P2R3	P21333
Q13794	Q96BZ8
O00515	O43791
Q14145	Q92932
Q0VG99	Q02818
P62917	P05155
Q96Q27	Q15744
Q13562	Q9Y2L9
Q8NEM2	Q9Y570
Q9UEY8	Q96DY7
Q8IX07	Q7Z5R6
O60841	P55072
Q01968	Q15041
Q12872	Q01130
Q8IVB5	Q99081
Q7L4P6	P10109
O15055	Q9H267
Q15746	P28360
Q96GM8	Q96M02
Q6EMB2	Q9BZD6
Q96G27	Q9Y5L4
Q14145	Q92743
P42704	Q9BVQ7
Q15041	P78364
Q99743	O14576
Q9UH92	Q00872
Q99583	Q59H18
Q96LZ3	P35869
Q5T749	P22059
Q8TDC3	Q96CT7
O43524	Q969P6
P52306	Q14807
Q9UQ26	Q8TAP6
Q92522	O00515
Q9UM13	Q9P2J5
Q86YV9	P21333
Q8N137	O75340
Q86X19	Q96PU8
P19622	O43474
P53805	Q9UPY3
Q8N3R9	P28702
Q9BYN8	Q9UBU7
Q8IX18	Q9Y468
Q8IX07	Q15910
Q15672	Q8WUM0
Q99853	P22059
P10070	Q9NWK9
Q9UJ04	Q96DF8
P57060	Q9GZR7
Q02930	Q9ULD4
P28340	P46776
Q99547	Q9UM73
Q99700	P42858
P56645	Q2M1K9
Q9Y5Y6	Q86V15
O60447	P55072
Q96IT1	Q9P2R6
Q99933	Q9NQ33
Q9BQ24	Q92804
Q8N6I1	Q9NRY5
O15353	Q9NP98
O43290	Q12756
Q9C005	O00625
P49715	Q9BV40
Q6EMB2	P35659
Q8TDN4	Q9UEY8
P06576	Q12766
P53567	Q6PGQ7
Q16665	Q8NEM2
P26358	Q96M83
Q8NBS9	Q9Y2K7
P24588	P47929
P60896	P11171
Q8N5M4	Q9NP81
Q9NPI1	Q9Y3E7
Q8IX07	Q9H992
Q8IUF1	Q96M02
P06748	Q9P0L9
P26639	P21579
Q96RK1	Q96MU7
P84074	P28702
O15504	Q96DU7
Q96FV9	P01584
O75354	Q9H9B1
Q05397	Q9UBE8
Q86YD7	Q8TF72
Q7Z3U7	P22059
Q05397	Q13601
Q9H3U1	Q9BQ69
P47929	O60516
Q9H0E9	Q9BZ95
Q9UKL0	Q86U70
Q9Y5B0	P35659
O14777	Q13098
Q9BZ95	Q99750
Q9Y3T9	P55209
P07992	Q2M1K9
Q96PM9	Q9P013
P62888	Q7L014
Q14318	A0AV96
O43474	Q8TAE8
P53567	Q9H221
Q9UKJ5	Q92733
O14744	Q5VV67
Q86UE4	O43251
P63167	Q8N108
Q8TB36	Q9NRX1
Q12905	Q8WV28
Q13823	P30291
P50222	Q5T1M5
Q9H074	Q9NPI1
P14854	Q14191
O15055	O95376
Q8N488	P62633
Q99640	P63208
Q96IF1	Q02446
Q6XD76	P19447
Q9NZC9	Q86SX6
P28340	P35869
Q8N5M4	Q99750
O14744	Q99614
Q86YD7	P35268
Q96A57	Q99598
Q14145	Q9BUZ4
P08047	P53539
Q99640	O75486
P29474	O14492
Q9H9J4	Q9UM73
Q99618	Q7Z3B3
Q96P70	Q8IXT5
P54727	Q15637
Q13569	Q9BZD6
Q9BU76	Q5TDH0
Q6P4R8	O14576
P48444	Q14129
Q13838	Q27J81
A0PJY2	Q9Y2U8
Q9BVP2	P01584
Q9BRR8	Q86V48
Q8N108	P61978
Q9NP77	Q96CT2
P84101	Q5VWP3
Q8IZL8	Q8IXT5
O60343	P62633
Q9H4H8	Q6PJW8
P07307	P11171
O00311	Q14674
Q96PM9	P09496
Q9GZU7	Q15038
Q9H9E3	P81408
Q96LZ3	O75815
Q9NZ52	Q5QP82
Q05397	Q96BR9
Q02218	Q9ULD4
Q9H0S4	Q9H4B4
P04198	O00515
Q8TDZ2	Q9UGU0
Q5VIR6	Q9UL40
Q7Z3B4	Q96AE4
Q96NB3	P61927
Q9NP81	Q9NYQ6
Q99640	Q8N6S5
Q92766	Q96CX2
Q9BWU0	Q92851
Q13724	Q96CX2
O60869	P0C2W1
Q12874	Q8N0Z3
O43815	Q99549
O14770	P78406
P22059	Q9NX09
P48634	Q13702
Q8NDC4	Q8NBS9
Q9BQ67	P08047
P28340	Q9NX09
Q96CA5	O14492
P29474	O14974
Q9H4A3	Q9UHY1
P07602	Q9H171
Q16143	P49589
Q6U841	Q15041
Q96G27	Q09472
P57060	P05362
Q96JN0	Q9Y237
Q96FV9	Q14135
P26358	Q9H221
Q86TI2	P01584
P46527	O43684
Q96Q27	O75147
Q9NQU5	P20585
Q96RR1	Q99618
P12081	Q5VWQ8
Q96D09	P35637
Q9H944	P30519
P30519	P35222
A0JLT2	P48736
P14854	P42345
Q14687	O15399
Q01130	Q9HAV7
Q8NEM2	Q99757
Q9UNQ2	P22415
P17096	Q13303
Q969G3	Q9UM11
Q9UIQ6	Q8N108
Q8WZ42	P00918
O75533	Q9H2G9
Q92665	P07108
P20810	Q14135
Q14129	Q8NEH6
Q8NBS9	Q86UT5
P36543	Q9Y3B9
P46060	O60610
P43364	Q15744
P47929	Q9Y2H9
O75347	P01584
Q71DI3	Q96RN5
P10242	P35659
Q92988	P51608
Q86VP6	Q96LZ3
Q92522	Q9BU76
O75398	P82251
Q96CA5	Q9Y3B7
Q96H55	P26639
P82970	Q9NQ33
Q15386	A7KAX9
Q13698	Q9NYY8
Q68CL5	P54727
O14770	P82251
Q7KZI7	P22670
P48634	Q7Z7A1
Q9BQ24	Q9H4B4
P20936	Q16621
Q96RK1	O43633
Q9UBN7	Q16621
O60902	Q9NXG2
Q13574	Q96M83
P29375	Q96BR9
Q9Y5T5	Q5U623
P52701	Q96A57
Q9NSA3	Q9ULH1
O15360	Q9UHX1
O00555	Q5VIR6
Q8IZT6	Q96MF7
Q5VV67	P05155
P52824	Q9UGU0
Q92541	Q9BXM7
Q02446	Q9UHD8
P54920	Q5U623
Q8N205	Q9Y2L9
Q96PM5	Q13029
P26639	Q92585
Q7Z2W9	P28799
O43524	P22695
P29372	Q99618
Q96J01	Q99598
Q15428	Q96G27
Q92988	Q16512
P55347	P10636
Q6UB99	P15927
P02730	O75379
Q12834	Q5VST9
P04075	Q5T5U3
P53999	Q8IWG1
Q5T0W9	Q9NYQ6
Q9Y2H0	Q9H204
Q14129	O76070
Q15041	Q9BSH4
P06753	P04075
P05204	Q8TAP6
O15372	Q8N108
Q06609	P20700
Q8N5Z5	O14576
P37198	Q6PI98
Q8N114	Q96M02
Q9BQS8	Q9NP77
Q9C005	P22670
P35268	Q96NB3
P20749	Q92614
Q5T1M5	P09884
Q16584	P06401
Q14566	Q9NQ33
O95983	Q96RK1
Q99593	P28360
P17096	P35637
Q9BZS1	P62633
Q9UKV3	Q96M02
P37275	Q15038
Q9H2U2	Q969R5
Q13439	Q92733
P11274	Q9BQ69
Q99549	P40424
P42345	Q12952
