Q9Y5B0	Q8N201	interacting
P37231	Q8WZ75	interacting
P37840	Q12967	interacting
Q08209	P23634	interacting
Q16665	P33993	interacting
Q01844	Q9UH92	interacting
Q09161	P18615	interacting
Q93009	Q9BUZ4	interacting
P04637	Q05823	interacting
P46531	O43290	interacting
Q08209	P53367	interacting
P02545	Q92917	interacting
P17096	P07900	interacting
P04637	P61964	interacting
Q01844	Q9P013	interacting
Q01844	O75400	interacting
P02545	Q13823	interacting
P49841	Q03701	interacting
P25054	Q8IVL0	interacting
Q93009	Q13618	interacting
P35637	Q15233	interacting
Q09472	Q9HCU9	interacting
P11387	Q15233	interacting
P49841	P11388	interacting
P46531	Q13098	interacting
P51608	Q6ZQN5	interacting
Q92731	Q9H7B2	interacting
Q9UBE0	P61081	interacting
Q09161	O15504	interacting
Q00987	Q6PHW0	interacting
P60896	O95816	interacting
P09651	Q13464	interacting
P11171	P20618	interacting
Q9UKV8	P62917	interacting
Q00987	P21333	interacting
P53350	P20618	interacting
P53350	P54727	interacting
P46531	O00555	interacting
P51608	Q06330	interacting
P46937	Q9H204	interacting
P15884	Q6P597	interacting
Q09472	Q92585	interacting
Q00987	P18754	interacting
Q01844	Q16637	interacting
Q16665	Q15596	interacting
P40337	Q96KM6	interacting
P02545	Q9NV56	interacting
P49841	Q7KZI7	interacting
Q92731	Q9GZR2	interacting
P49841	P33076	interacting
Q99801	Q02446	interacting
Q8N488	Q13387	interacting
P29353	Q8WZ73	interacting
Q00987	Q15046	interacting
Q9UKV8	Q15020	interacting
O43464	Q6P996	interacting
P04150	Q9P013	interacting
P49841	Q13144	interacting
Q09472	Q9Y6B2	interacting
P02545	P49736	interacting
Q09472	Q01196	interacting
P61244	Q92905	interacting
P51608	O00358	interacting
Q01844	Q9Y3B9	interacting
P02545	Q9UKX7	interacting
P38936	Q7L590	interacting
P37840	P42285	interacting
P37840	Q13627	interacting
P61244	Q99583	interacting
P11387	P22087	interacting
Q00987	P12956	interacting
P23025	Q9UIF7	interacting
Q16143	Q9H4B4	interacting
Q9HAU5	Q9GZQ8	interacting
Q9NQC3	Q8WXF7	interacting
O15350	Q92793	interacting
P54725	Q9BTU6	interacting
O15350	P06400	interacting
P38936	P33993	interacting
Q92731	Q9Y5Q9	interacting
P09651	Q86VP6	interacting
P04637	P06396	interacting
Q13573	O75400	interacting
P07602	O14776	interacting
Q09472	P51668	interacting
P63027	O14810	interacting
Q01844	Q92793	interacting
P40337	Q9Y376	interacting
P19793	P15172	interacting
P11171	P61221	interacting
P54725	Q12933	interacting
P49841	Q16637	interacting
Q8WZ42	O75147	interacting
P09651	P61978	interacting
P49841	Q06330	interacting
P15884	Q9Y5U2	interacting
P04637	Q8IXM3	interacting
P49841	P46821	interacting
P60896	Q9NRR5	interacting
Q16665	Q9GZV5	interacting
P49841	Q04724	interacting
P04637	Q02952	interacting
P25963	Q96EP0	interacting
P35637	P11474	interacting
P04637	Q15170	interacting
Q01844	P55081	interacting
P35611	P51532	interacting
Q9H2S9	Q9BZS1	interacting
P53350	Q9NS56	interacting
P37840	O00165	interacting
P38936	Q04724	interacting
Q9UBB5	Q9Y6A5	interacting
P16949	Q13263	interacting
Q9UGL1	O00555	interacting
Q9UGL1	P61956	interacting
Q8WZ42	Q9H2C0	interacting
Q92731	P42356	interacting
Q8N488	O14508	interacting
P40337	P51668	interacting
Q00987	P35222	interacting
P37231	Q15596	interacting
