P04637	Q13435
P53350	P30307
P04637	P33981
P04637	Q96PE2
P04637	P18124
Q01844	O75150
P63027	Q7Z6Z7
P04637	Q13526
Q09472	P17735
P60896	Q96EV2
P29353	P20749
P04637	P32745
P15884	Q96BZ8
Q13573	O95785
Q09472	Q8IZL8
P04637	O60264
Q9UGL1	O00555
P04637	Q9UBB9
P25054	Q9ULH1
P29353	P17931
P04637	O95863
P02545	Q96HA1
O15169	Q5VUA4
P04637	Q96JN8
Q9H981	Q9C086
P04637	O95644
P54725	Q9H944
O15169	Q9GZV5
P61328	Q13422
Q00987	Q9Y620
P04637	Q9Y2D8
Q09472	P29590
Q09472	P62805
Q9UBE0	Q86TI2
P04637	P42677
Q09472	Q9UHV2
P53041	P68402
Q9UKV8	P42766
Q09472	Q9HD26
Q09472	P22736
Q9HAU5	Q9H8T0
P38936	Q6EMB2
Q02548	Q92793
P04637	P11388
P04637	P47756
Q09472	Q13546
P04637	Q05682
Q09472	P06401
P04637	Q96J02
P16949	O14737
Q9UKV8	Q13148
P08047	Q5U623
P04637	Q96BN2
P14635	Q96EB6
P04637	P55316
P04637	Q9Y2S7
Q13573	Q13148
Q92731	Q86UX2
P52298	Q9NX46
O60356	Q01105
Q09472	Q9NYA1
P01100	Q01105
Q8WZ42	Q15843
P04637	O95251
P04637	P08670
O00488	Q8IWV7
Q09472	Q12888
P04637	P15927
Q09161	Q99728
Q09472	Q15699
P14635	P30307
Q09472	Q01094
P04637	Q16637
P04637	P18847
P60896	Q15008
P04637	O15304
P04637	O14497
P04637	Q9H8V3
P04637	Q96S44
P04637	O96017
P04637	P51948
P23025	Q96EB6
Q00987	Q92793
Q93009	Q9UNF1
Q9HAU5	P04183
P60896	P48556
Q9NQB0	P35222
P52298	Q9GZZ9
P04637	Q15139
P04637	Q9P2P5
P04637	Q13043
P04637	Q9BVP2
P04637	Q14151
P04637	Q9NP81
Q09472	O95644
P60896	O94822
P04637	P62899
Q93009	Q03468
P49841	Q6UXH1
P40337	P23508
P60896	O95816
O43464	P98170
Q09472	Q96RK1
Q09472	Q13131
P04637	Q8IXF0
P04637	Q7Z3B3
Q13573	Q9C0J8
P02545	Q96RG2
P60896	Q96ST3
P04637	P39023
Q13573	P12081
P04637	O60341
P04637	O60841
P04637	Q96PM5
P04637	P09884
P04637	Q9Y2W1
Q93009	Q13490
O15169	P12755
P46531	Q9UPP1
P01100	P20749
P40337	Q15942
Q09472	P10827
P54725	Q92793
Q9UER7	P46100
O15169	P49840
P60896	O95817
P04637	Q9H334
Q09472	P33991
P37231	Q92793
O00488	O43318
P04818	Q15843
P04637	Q9H9B1
Q09472	Q9Y6B2
P04637	P62750
P53041	Q15843
P04637	Q9H0F5
P29353	Q12774
P60896	P46379
Q09472	Q71DI3
Q9UKV8	Q15633
P04637	Q99615
Q09472	O15156
P04637	P12956
Q00987	P29401
P49841	Q13163
Q9HAU5	Q8IYB3
Q09472	O75128
O15169	Q14134
Q9UKV8	P49915
P15884	O43559
Q09472	O75444
P04150	Q01105
P09651	Q13148
P38936	O95785
Q09472	Q6PCB8
P19429	Q13219
Q9NQB0	O15105
Q49AN0	Q7Z6Z7
