P04818	O75340
P19793	Q5QJE6
P04637	P18847
P37231	O75376
P14859	P23511
P53350	Q9UM11
Q09472	P12956
P04637	Q96A56
P25963	Q58WW2
P04637	P20042
P53041	Q70EL2
P54725	P20618
Q01844	Q15906
P04637	Q8N5Z5
Q16665	Q15843
P04637	P85037
Q13573	Q9BW85
P09651	P52272
Q01844	O15234
Q92731	Q5QJE6
P23025	P07992
P09651	Q9NS56
Q9HAU5	Q8TAE8
P24522	Q9H254
Q49AN0	Q9UHI6
P08047	Q01780
Q13573	Q9NPJ6
P02545	Q9H910
Q00987	O94992
Q09472	P17844
P53350	Q9UI14
O14733	Q9Y6R4
P37231	Q15653
Q00987	Q8TEX9
Q99967	P20226
P35637	Q13148
P01100	Q92793
P04150	P12931
P37231	Q13772
P41236	Q9NYB0
P04637	Q96RL1
P61244	O43290
P08047	P42285
P09651	P62081
Q93009	O60437
Q13573	P78344
Q9UKV8	Q00839
P27695	Q12905
Q01844	O96028
P14635	Q01105
P01100	P29590
P29353	O75569
Q09472	O00401
Q13573	Q96A65
Q00987	P61978
P04637	P16104
P23025	P29084
P37231	Q5VT06
Q9UKV8	P62750
P49841	Q15459
P02545	P42166
Q99801	P51948
P25054	O95243
Q9NQB0	P09874
P61244	P49207
P09651	P63173
P37840	Q71DI3
Q00987	Q92619
P25054	P21333
Q9UKV8	O43242
P02545	Q9Y6X4
P53350	P49815
P09651	Q86VP6
P27695	P52926
Q09472	Q9P0U4
P27695	Q96CT7
P35637	O00418
P25963	O95999
Q9Y5B0	Q9BQA1
P38936	Q7Z5J4
P15884	A2RRL7
P35637	Q15418
Q01844	Q9NWB6
Q01844	Q13114
Q00987	P10606
Q01844	Q16637
Q49AN0	Q15029
P04637	Q9H9J4
Q9Y5B0	P62805
P04637	Q86V81
Q9NQC3	Q96KR6
P51946	Q08379
P51608	O00358
P04637	Q96QH2
Q9Y5B0	Q9NQG5
O60356	Q15233
P61328	Q13422
P04637	O15304
Q9H981	Q9H9F9
P27695	Q12933
P16949	O96017
Q16665	Q96GG9
Q9HAU5	Q9ULV3
P09651	P61247
Q9Y3M2	A1XBS5
Q13569	P10827
Q01844	Q7Z7F0
Q01844	P00558
Q92731	Q9P2F8
P04637	O60285
Q9HAU5	P55884
P01100	P18847
P09651	P06730
P04637	Q9P2P5
P49354	Q9UBN7
P04637	Q9BX70
P52298	Q15637
P51608	O75376
P23025	Q9NS23
P29353	O00165
Q13573	Q96GM5
Q9NX55	O00193
Q9UJY5	Q9UJY4
P37840	Q9UHK0
Q00987	Q9Y6B2
P52298	Q9H814
Q13573	Q96ST3
P14635	Q13526
P16949	Q96BK5
Q13573	P17987
P15884	Q9UDX3
Q13573	O94913
Q93009	Q7Z6Z7
Q00987	P55011
Q16665	Q96ST3
P02545	O00267
Q00987	P04075
P49841	P62266
Q00987	O00264
Q09472	Q92786
Q00987	Q9BSJ8
Q01844	O60682
P04637	Q8N114
P04637	Q99966
P23025	O15446
Q92731	P09543
P04150	Q9Y2J2
P53350	P55072
P25963	P62877
Q13573	O60610
Q00987	Q13185
Q02548	Q9UH73
P04637	P21333
Q01844	P22415
Q09472	Q99683
P46937	P78318
P25054	P63010
P15884	Q96F07
P14859	P20226
P09651	P08397
Q13573	Q00341
P08047	P62195
P02545	O75147
P09651	Q6KB66
P11387	Q9BQ67
Q09472	Q10586
P04637	Q9UNF1
Q93009	Q06330
Q92731	Q8IZL8
Q13573	Q8IXH7
Q93009	O43684
Q09472	Q86YV9
P17677	P32246
P04637	Q96SB4
P15884	Q6NYC8
P78356	Q9Y2J2
P02545	Q7L014
P04150	P29375
P35637	Q3ZCQ8
O75496	P78364
P19429	P13805
P37231	Q9H6Z4
O15350	P62913
P35637	Q9UG63
Q00987	P15924
P04637	Q96FW1
Q09472	Q02750
P35637	P17844
P15884	Q86WQ0
Q9UKV8	Q9UPY3
P17096	P02751
P29353	Q13905
Q01844	Q92905
O00488	Q9ULU8
Q13573	P12755
P49841	Q9HBH7
P29353	O60674
P15884	P55040
P53350	Q9UJP4
P11387	Q15029
P04637	Q9BYW2
Q49AN0	P12956
P07602	Q9NYQ6
Q9UJY5	Q15276
P14635	P30307
P53350	P78539
Q9NQC3	P15927
Q92731	Q9UI38
Q9Y5B0	O14744
P49918	P15172
Q9HAU5	Q9UHX1
P04637	Q9H0E9
P46527	Q9Y4X5
P04818	Q9Y3B8
Q00987	O14746
Q16665	Q9BZF9
P04637	Q12980
Q9HAU5	P62851
P09651	P22626
Q09472	Q8WXX7
P49841	O14965
P15884	Q14129
P02686	Q13153
P24522	Q7Z5J4
Q13573	P61978
Q92731	Q9UJV9
P04150	P16220
P38936	P19338
P09651	P46776
P04637	Q9H0F5
P41236	Q9UBB6
P01100	Q9H307
P46527	P20618
Q00987	O95863
P04637	Q92831
Q13569	P61956
P35611	Q02363
P53350	O60566
P37840	Q9BXM7
P37231	Q9H5J0
Q8N488	Q13158
P35869	O75444
Q00987	O75396
P24522	Q8N205
Q9NQC3	P58107
P24522	Q504T8
P46937	Q9UBU9
Q01844	P54259
P14635	O14777
Q49AN0	Q93008
Q13573	P38919
Q16665	Q9GZV5
Q9Y5B0	Q96ST2
P41236	Q9BRT9
Q09472	P33992
P25963	Q00839
P15884	Q9BZE9
Q99801	Q9NZU5
Q01844	O15541
P78356	Q15287
P02545	O15042
Q13541	Q9Y6B2
O43464	O75351
Q01844	Q8IYB3
O15350	O15111
P17096	O75531
Q9HAU5	Q04637
Q00987	Q15750
Q92731	Q6UN15
P49841	Q5VTB9
P08047	Q9UBL3
P01100	Q96SB4
Q00987	Q13838
P04637	Q15596
Q9UGL1	O75376
P02545	P20700
P25054	Q9UP83
P37840	P61956
P38936	Q7KZI7
P25054	Q96S59
P11387	P22087
P14635	O00418
P25963	Q96FV2
P25963	O14543
P02545	P52272
P04150	O15511
Q92731	Q63ZY3
P35637	P07900
Q96T21	Q8N0Z3
P04637	Q13620
P25054	Q8TF01
P37231	Q9UBE8
P08047	P56524
P38936	Q9UIM3
P04637	P19447
P01100	Q14686
P04637	Q9Y468
Q13573	Q5UIP0
P04637	Q9UNE7
Q00987	Q96AE4
P53350	Q14203
Q08209	P61758
P15884	Q9Y6H1
P51946	Q13888
Q92731	O75683
P04637	Q5T447
P11171	Q9HB71
P01100	P43694
P27695	P15927
P51608	Q969G3
O14733	O43318
P52298	Q9NX46
O15169	Q9NTX7
P35611	Q9GZQ8
Q01844	Q6PJW8
P04637	P62851
Q93009	Q9UBS0
O15350	O60563
P37840	P42858
P35637	Q96P66
P04637	Q96G74
P53041	Q9NRI5
Q00987	Q02218
P29353	O00750
P25054	Q08379
Q13573	Q8IUH3
P04637	Q14151
P11387	P17844
P04637	P18754
P19429	Q9P0L9
P25963	P55072
P37231	O75688
P09651	Q13469
P04637	O75147
O43464	Q6P996
Q13573	Q9NPF5
Q01844	P09429
Q00987	P46063
Q01844	Q6P4R8
Q93009	P23588
P02545	P46109
P04818	Q9BQ24
Q49AN0	P21333
Q01844	Q8NEH6
P38936	Q01094
P04637	Q9UKY1
