P49841	Q14289	non-interacting
O15085	P04637	non-interacting
P04637	Q8TDC0	non-interacting
Q13435	Q92731	non-interacting
P53350	O60869	non-interacting
P30307	P25054	non-interacting
P33981	Q01844	non-interacting
P38936	P42166	non-interacting
Q13432	P24522	non-interacting
P11473	Q8IUQ4	non-interacting
P06400	Q9UJY5	non-interacting
Q96ST3	P62750	non-interacting
P04150	O43399	non-interacting
Q00839	Q99814	non-interacting
P37840	Q92989	non-interacting
O75821	Q93009	non-interacting
Q13573	P06454	non-interacting
P10276	P37231	non-interacting
P82094	O15350	non-interacting
Q96PE2	P25054	non-interacting
P37231	Q08050	non-interacting
O60869	P37840	non-interacting
P09651	Q15020	non-interacting
P19105	P04637	non-interacting
P35637	O75496	non-interacting
Q8N1B3	Q00987	non-interacting
Q93009	Q9NRI5	non-interacting
Q13618	O95817	non-interacting
Q9UJY5	P61758	non-interacting
O60941	P04637	non-interacting
P52298	Q15029	non-interacting
Q9H814	P29353	non-interacting
P54253	Q92731	non-interacting
P46527	P15408	non-interacting
Q92905	Q99801	non-interacting
O60563	P06400	non-interacting
Q00987	Q8IZ69	non-interacting
P78347	P49841	non-interacting
Q01844	P50991	non-interacting
Q15154	Q14191	non-interacting
Q49AN0	O15169	non-interacting
P41250	P61956	non-interacting
O15350	Q14203	non-interacting
O14965	P46531	non-interacting
P40337	Q9BWC9	non-interacting
Q02363	P37231	non-interacting
P24522	Q9UER7	non-interacting
Q7Z5J4	P53350	non-interacting
O15273	Q9Y5B0	non-interacting
Q8TDC0	P40337	non-interacting
Q9UKV8	P42166	non-interacting
P06748	P26196	non-interacting
P18124	Q92793	non-interacting
P98170	Q7L5N1	non-interacting
O75150	O14965	non-interacting
P46531	Q9NPG3	non-interacting
Q14151	O15169	non-interacting
Q7LG56	Q01844	non-interacting
Q99615	P53350	non-interacting
P63027	O75694	non-interacting
Q7Z6Z7	Q15788	non-interacting
Q13526	P38936	non-interacting
Q09472	O94762	non-interacting
P17735	Q93009	non-interacting
P14635	P14653	non-interacting
Q8N122	P07602	non-interacting
Q96QK1	P49841	non-interacting
P60896	P06396	non-interacting
Q96EV2	Q09472	non-interacting
P29353	Q9Y5U2	non-interacting
P20749	P53350	non-interacting
Q92731	Q14669	non-interacting
Q7Z7A1	Q09472	non-interacting
O60566	P61081	non-interacting
P32745	P38936	non-interacting
P04264	Q9UKV8	non-interacting
P04818	P14859	non-interacting
P61081	Q96EB6	non-interacting
P62851	P20810	non-interacting
P15884	P55265	non-interacting
Q96BZ8	Q9UER7	non-interacting
P02545	Q8TAD8	non-interacting
P17252	P51608	non-interacting
O95785	P20226	non-interacting
Q8IUH5	Q92731	non-interacting
Q96FW1	Q13526	non-interacting
P19338	P41236	non-interacting
Q09161	O60264	non-interacting
Q06210	Q01844	non-interacting
Q6PGQ7	Q00987	non-interacting
Q9P1W9	P04637	non-interacting
Q9UER7	Q96LI5	non-interacting
Q13158	Q01844	non-interacting
Q8IZL8	Q96ST3	non-interacting
Q8IZT6	Q13573	non-interacting
O60264	P09651	non-interacting
O95983	P09651	non-interacting
Q9UMS4	Q00987	non-interacting
P49736	P25963	non-interacting
Q86Y82	P35637	non-interacting
Q9UGL1	P62854	non-interacting
O00555	Q13573	non-interacting
Q14449	P46531	non-interacting
Q96EP1	P62899	non-interacting
O60506	P60896	non-interacting
Q9UBB9	Q09472	non-interacting
Q9BSJ8	P04637	non-interacting
Q9Y6Q9	P24522	non-interacting
Q8N0W5	P04637	non-interacting
Q92585	P49841	non-interacting
Q16594	Q93009	non-interacting
P17931	P09651	non-interacting
O95863	Q93009	non-interacting
O95340	P35637	non-interacting
Q96HA1	P61244	non-interacting
P80723	P04637	non-interacting
Q15029	Q93009	non-interacting
Q9P212	P09651	non-interacting
